Model,Accuracy,F1,Precision,Recall,AUROC,Params(M),Trainable(M),Images/sec,Model size MB,Inference time,FPR,FNR,F1/Params
mobilenet_partial,98.13,0.9814207650273225,0.9751233958538993,0.9878,0.9986053199999999,4.204594,4.204594,1206.6199046640866,16.239304542541504,16.575227975845337,0.0252,0.0122,0.23341629775129832
resnet_partial,97.42,0.9740494870247435,0.9797652772157022,0.9684,0.9966357100000001,23.51213,23.51213,996.593022774385,90.00110530853271,20.06837248802185,0.02,0.0316,0.041427530684150844
xception_partial,97.33000000000001,0.9735669735669735,0.9639286414428544,0.9834,0.9975815699999999,20.81105,20.81105,891.0879362183646,79.6860990524292,22.4444739818573,0.0368,0.0166,0.04678125195830933
effnet_partial,96.15,0.9616572054576238,0.9577464788732394,0.9656,0.994008375,52.860918,52.860918,579.9558086069671,203.15161037445068,34.48538613319397,0.0426,0.0344,0.018192215380323586
